Vendedor;Rede;Cliente;Código;Loja;Cidade;UF
Vinicius;G Barbosa;Gbarbosa 037 Alagoinhas (000082 - 22);000082;22;Alagoinhas;BA
Vinicius;G Barbosa;Gbarbosa 038 Alagoinhas (000082 - 23);000082;23;Alagoinhas;BA
Vinicius;G Barbosa;Gbarbosa 074 Sobradinho (000082 - 25);000082;25;Feira De Santana;BA
Vinicius;G Barbosa;Gbarbosa 076 Tomba (000082 - 26);000082;26;Feira De Santana;BA
Vinicius;G Barbosa;Gbarbosa 108 Lauro De Freitas (000082 - 11);000082;11;Lauro De Freitas;BA
Vinicius;G Barbosa;Gbarbosa 112 Vitoria Da Conquista (000082 - 30);000082;30;Vitoria Da Conquista;BA
Vinicius;G Barbosa;Gbarbosa Camacari (000082 - 86);000082;86;Camacari;BA
Vinicius;G Barbosa;Gbarbosa Cd Bahia (000082 - 85);000082;85;Simoes Filho;BA
Vinicius;G Barbosa;Gbarbosa Cd Sergipe (000082 - 84);000082;84;Nossa Senhora Do Socorro;SE
Vinicius;G Barbosa;Gbarbosa Conj. Marcos Freire I (000082 - 82);000082;82;Nossa Senhora Do Socorro;SE
Vinicius;G Barbosa;Gbarbosa Hiper Sul (000082 - 70);000082;70;Aracaju;SE
Vinicius;G Barbosa;Gbarbosa Jardins (000082 - 68);000082;68;Aracaju;SE
Vinicius;G Barbosa;Gbarbosa Luzia (000082 - 73);000082;73;Aracaju;SE
Antonio;G Barbosa;Gbarbosa-125-Juazeiro Santo Antonio (000082 - 33);000082;33;Juazeiro;BA
Antonio;G Barbosa;Gbarbosa-133 -Juazeiro Centro (000082 - 37);000082;37;Juazeiro;BA
Vinicius;G Barbosa;Gbarbosa-139-Vitoria Da Conquista (000082 - 39);000082;39;Vitoria Da Conquista;BA
Vinicius;G Barbosa;Gbarbosa-272- Cabula (000082 - 47);000082;47;Salvador;BA
Vinicius;G Barbosa;Gbarbosa-274-Guarajuba (000082 - 48);000082;48;Camacari;BA
Vinicius;G Barbosa;Gbarbosa-302 - Horto Bela Vista (000082 - 49);000082;49;Salvador;BA
Ricardo Santos;Outros;Gral Panificacao (001824 - 01);001824;01;Salvador;BA
Ricardo Santos;Outros;Gran Hortifruti (002821 - 01);002821;01;Salvador;BA
Vinicius;Outros;Hiper Carne Jabotiana (004582 - 01);004582;01;Aracaju;SE
Vinicius;Outros;Hiper Carnes Barra Dos Coqueiros (004130 - 01);004130;01;Barra Dos Coqueiros;SE
Ricardo Santos;Hiperideal;Hiper Ideal Cd (002613 - 24);002613;24;Salvador;BA
Nixon;Hiper Unimar;Hiper Unimar Arembepe (000203 - 02);000203;02;Camacari;BA
Nixon;Outros;Hiper Unimar Barra Do Pojuca (000203 - 01);000203;01;Camacari;BA
Ricardo Santos;Hiperideal;Hiperideal - Vitoria (002613 - 04);002613;04;Salvador;BA
Ricardo Santos;Hiperideal;Hiperideal Alphaville (002613 - 32);002613;32;Salvador;BA
Ricardo Santos;Hiperideal;Hiperideal Amazonas (002613 - 27);002613;27;Salvador;BA
